id,object_ref,category,date,flatType,floor,rent,rent_add,rent_net,rooms,area,year_built,street_number,city,zip,lat,lng,wkt,gwr_egid,match_accuracy
3001279203,12103.01.10100,rent,2021-10-12T19:05:09,,1,1000,,,,57,,Sonnenhaldenstrasse 8,St. Gallen,9008,47.4416007995605,9.39217567443848,POINT (9.392175674438477 47.44160079956055),1075164,0.0363636363636364
3001279734,TG1811.TG1811.TG1811,rent,2021-10-12T23:09:55,,4,1040,,,,97,,Kräzernstrasse 10,St. Gallen,9014,47.4073371887207,9.32496070861816,POINT (9.324960708618164 47.4073371887207),1068944,0.191666666666667
3001279823,45792169,rent,2021-10-12T19:50:32,,,1490,,,,80,,Solitüdenstrasse 1,St. Gallen,9012,47.4126167297363,9.36404991149902,POINT (9.364049911499023 47.41261672973633),1071466,0.0697674418604651
3001279899,46947344,rent,2021-10-12T23:28:11,,,1350,,,,90,,Sömmerlistrasse,St. Gallen,9000,47.4184989929199,9.35178279876709,POINT (9.35178279876709 47.41849899291992),1070333,0.0588235294117647
3001281270,1058.01.1033,rent,2021-10-12T19:59:59,,3,800,,,,75,,Kolumbanstrasse 47,St. Gallen,9008,47.4394798278809,9.39236450195312,POINT (9.392364501953125 47.43947982788086),1075030,0.056338028169014
3001281696,11201.02.10001,rent,2021-10-12T19:38:49,,GF,1050,,,,51,,Oberstrasse 81,St. Gallen,9000,47.4164695739746,9.36275386810303,POINT (9.362753868103027 47.41646957397461),1071723,0.49
3001281709,53804.03.0101,rent,2021-10-12T19:07:36,,2,890,140,750,,50,1962,Berneggstr. 54,St. Gallen,9000,47.4187965393066,9.37232875823975,POINT (9.372328758239746 47.41879653930664),1072163,0.333333333333333
3001281712,53804.02.0203,rent,2021-10-12T19:07:37,,3,890,140,750,,50,1962,Berneggstr. 52,St. Gallen,9000,47.419017791748,9.37270641326904,POINT (9.372706413269043 47.41901779174805),,
3001282418,46039422,rent,2021-10-12T23:28:14,,,1200,,,,,,Zimmerstrasse 9,St. Gallen,9000,47.4163360595703,9.36120128631592,POINT (9.361201286315918 47.41633605957031),1071802,
3001282742,5648.goldinger.SM98.1110,rent,2021-10-12T21:06:30,,4,840,,,,,,Lämmlisbrunnenstrasse 16,St. Gallen,9000,47.4245758056641,9.38089656829834,POINT (9.38089656829834 47.42457580566406),2363483,
3001282886,SM900.869729.f4ae51ea-00c9-11ec-bf79-005056bdbc06,rent,2021-10-12T20:47:03,,2,1172,,,,,,Ulmenstrasse 3,St. Gallen,9000,47.419807434082,9.35426044464111,POINT (9.354260444641113 47.41980743408203),1070411,
3001284556,54801.01.0301,rent,2021-10-12T19:08:55,,3,860,,,,70,1919,Taubenstr. 4,St. Gallen,9008,47.4360466003418,9.38796520233154,POINT (9.387965202331543 47.4360466003418),1074862,0.0
3001285527,870214.80720560-018b-11ec-bf79-005056bdbc06,rent,2021-10-12T19:53:36,,1,1170,190,980,,65,,Langgasse 139,St. Gallen,9008,47.4445838928223,9.39579772949219,POINT (9.395797729492188 47.444583892822266),1075481,0.1875
3001285652,tdiju.w6f0k,rent,2021-10-12T20:00:03,,3,700,,,,65,,Oberstrasse 123,St. Gallen,9000,47.4147109985352,9.35912609100342,POINT (9.359126091003418 47.414710998535156),1069843,0.326530612244898
3001285654,Falkensteinstrasse 5 - 2 ZWG.870234.1ded9214-0192-11ec-bf79-005056bdbc06,rent,2021-10-12T19:38:34,,GF,995,220,775,,57,,Falkensteinstrasse 5,St. Gallen,9000,47.4299926757812,9.39174365997314,POINT (9.391743659973145 47.42999267578125),1076035,0.05
